,Width##SECTION_PROPERTY##INCHES,Height##SECTION_PROPERTY##INCHES,Flange Thickness##SECTION_PROPERTY##INCHES,Web Thickness##SECTION_PROPERTY##INCHES,Web Fillet##SECTION_PROPERTY##INCHES,Centroid Vertical##SECTION_PROPERTY##INCHES,Section Area##SECTION_AREA##SQUARE_INCHES,Nominal Weight##WEIGHT_PER_UNIT_LENGTH##POUNDS_FORCE_PER_FOOT,Moment of Inertia strong axis##MOMENT_OF_INERTIA##INCHES_TO_THE_FOURTH_POWER,Moment of Inertia weak axis##MOMENT_OF_INERTIA##INCHES_TO_THE_FOURTH_POWER,Elastic Modulus strong axis##SECTION_MODULUS##CUBIC_INCHES,Elastic Modulus weak axis##SECTION_MODULUS##CUBIC_INCHES,Plastic Modulus strong axis##SECTION_MODULUS##CUBIC_INCHES,Plastic Modulus weak axis##SECTION_MODULUS##CUBIC_INCHES,Torsional Moment of Inertia##MOMENT_OF_INERTIA##INCHES_TO_THE_FOURTH_POWER,Warping Constant##WARPING_CONSTANT##INCHES_TO_THE_SIXTH_POWER,Bolt Spacing##SECTION_DIMENSION##INCHES,Section Name Key##other##
WT12X81,13,12.5,1.22,0.705,0.5,9.8,23.9,81,293,221,29.9,34.2,53.3,52.6,9.22,43.8,5.5,WT12X81
WT12X73,12.9,12.4,1.09,0.65,0.5,9.74,21.5,73,264,195,27.2,30.3,48.2,46.6,6.7,31.9,5.5,WT12X73
WT12X65.5,12.9,12.2,0.96,0.605,0.5,9.55,19.3,65.5,238,170,24.8,26.5,43.9,40.7,4.74,23.1,5.5,WT12X65.5
WT12X58.5,12.8,12.1,0.85,0.55,0.5,9.48,17.2,58.5,212,149,22.3,23.2,39.2,35.7,3.35,16.4,5.5,WT12X58.5
WT12X52,12.8,12,0.75,0.5,0.5,9.41,15.3,52,189,130,20,20.3,35.1,31.2,2.35,11.6,5.5,WT12X52
WT12X51.5,9,12.3,0.98,0.55,0.5,9.29,15.1,51.5,204,59.7,22,13.3,39.2,20.7,3.53,12.3,5.5,WT12X51.5
WT12X47,9.07,12.2,0.875,0.515,0.505,9.21,13.8,47,186,54.5,20.3,12,36.1,18.7,2.62,9.57,5.5,WT12X47
WT12X42,9.02,12.1,0.77,0.47,0.5,9.13,12.4,42,166,47.2,18.3,10.5,32.5,16.3,1.84,6.9,5.5,WT12X42
WT12X38,8.99,12,0.68,0.44,0.5,9,11.2,38,151,41.3,16.9,9.18,30.1,14.3,1.34,5.3,5.5,WT12X38
WT12X34,8.97,11.9,0.585,0.415,0.505,8.84,10,34,137,35.2,15.6,7.85,27.9,12.3,0.932,4.08,5.5,WT12X34
WT12X31,7.04,11.9,0.59,0.43,0.5,8.44,9.11,31,131,17.2,15.6,4.9,28.4,7.85,0.85,3.92,3.5,WT12X31
WT12X27.5,7.01,11.8,0.505,0.395,0.505,8.3,8.1,27.5,117,14.5,14.1,4.15,25.6,6.65,0.588,2.93,3.5,WT12X27.5
WT10.5X100.5,12.6,11.5,1.63,0.91,0.5,8.93,29.6,100.5,285,271,31.9,43.1,58.6,66.5,20.4,85.4,5.5,WT10.5X100.5
WT10.5X91,12.5,11.4,1.48,0.83,0.5,8.92,26.8,91,253,241,28.5,38.6,52.1,59.5,15.3,63,5.5,WT10.5X91
WT10.5X83,12.4,11.2,1.36,0.75,0.5,8.81,24.4,83,226,217,25.5,35,46.3,53.9,11.8,47.3,5.5,WT10.5X83
WT10.5X73.5,12.5,11,1.15,0.72,0.5,8.61,21.6,73.5,204,188,23.7,30,42.4,46.3,7.69,32.5,5.5,WT10.5X73.5
WT10.5X66,12.4,10.9,1.04,0.65,0.5,8.57,19.4,66,181,166,21.1,26.7,37.6,41.1,5.62,23.4,5.5,WT10.5X66
WT10.5X61,12.4,10.8,0.96,0.6,0.5,8.52,17.9,61,166,152,19.3,24.6,34.3,37.8,4.47,18.4,5.5,WT10.5X61
WT10.5X55.5,12.3,10.8,0.875,0.55,0.505,8.57,16.3,55.5,150,137,17.5,22.2,31,34.1,3.4,13.8,5.5,WT10.5X55.5
WT10.5X50.5,12.3,10.7,0.8,0.5,0.5,8.52,14.9,50.5,135,124,15.8,20.2,27.9,30.8,2.6,10.4,5.5,WT10.5X50.5
WT10.5X46.5,8.42,10.8,0.93,0.58,0.5,8.06,13.7,46.5,144,46.4,17.9,11,31.8,17.3,3.01,9.33,5.5,WT10.5X46.5
WT10.5X41.5,8.36,10.7,0.835,0.515,0.505,8.04,12.2,41.5,127,40.7,15.7,9.74,28,15.2,2.16,6.5,5.5,WT10.5X41.5
WT10.5X36.5,8.3,10.6,0.74,0.455,0.5,8,10.7,36.5,110,35.3,13.8,8.51,24.4,13.3,1.51,4.42,5.5,WT10.5X36.5
WT10.5X34,8.27,10.6,0.685,0.43,0.505,8.01,10,34,103,32.4,12.9,7.83,22.9,12.2,1.22,3.62,5.5,WT10.5X34
WT10.5X31,8.24,10.5,0.615,0.4,0.505,7.92,9.13,31,93.8,28.7,11.9,6.97,21.1,10.9,0.913,2.78,5.5,WT10.5X31
WT10.5X27.5,8.22,10.4,0.522,0.375,0.498,7.76,8.1,27.5,84.4,24.2,10.9,5.89,19.4,9.18,0.617,2.08,5.5,WT10.5X27.5
WT10.5X24,8.14,10.3,0.43,0.35,0.5,7.56,7.07,24,74.9,19.4,9.9,4.76,17.8,7.44,0.4,1.52,5.5,WT10.5X24
WT10.5X28.5,6.56,10.5,0.65,0.405,0.5,7.65,8.37,28.5,90.4,15.3,11.8,4.67,21.2,7.4,0.884,2.5,3.5,WT10.5X28.5
WT10.5X25,6.53,10.4,0.535,0.38,0.505,7.47,7.36,25,80.3,12.5,10.7,3.82,19.4,6.08,0.57,1.89,3.5,WT10.5X25
WT10.5X22,6.5,10.3,0.45,0.35,0.5,7.32,6.49,22,71.1,10.3,9.68,3.18,17.6,5.07,0.383,1.4,3.5,WT10.5X22
WT9X155.5,12,11.2,2.74,1.52,0.5,8.27,45.8,155.5,383,398,46.6,66.2,90.6,104,87.2,339,5.5,WT9X155.5
WT9X141.5,11.9,10.9,2.5,1.4,0.5,8.1,41.7,141.5,337,352,41.5,59.2,80.2,92.5,66.5,251,5.5,WT9X141.5
WT9X129,11.8,10.7,2.3,1.28,0.4,8.02,38,129,298,314,37,53.4,71,83.1,51.1,189,5.5,WT9X129
WT9X117,11.7,10.5,2.11,1.16,0.4,7.95,34.3,117,261,279,32.7,47.9,62.4,74.4,39.1,140,5.5,WT9X117
WT9X105.5,11.6,10.3,1.91,1.06,0.4,7.86,31.2,105.5,229,246,29.1,42.7,55,66.1,29.1,102,5.5,WT9X105.5
WT9X96,11.5,10.2,1.75,0.96,0.4,7.86,28.1,96,202,220,25.8,38.4,48.5,59.4,22.3,75.7,5.5,WT9X96
WT9X87.5,11.4,10,1.59,0.89,0.4,7.74,25.7,87.5,181,196,23.4,34.4,43.6,53.1,16.8,56.5,5.5,WT9X87.5
WT9X79,11.3,9.86,1.44,0.81,0.4,7.69,23.2,79,160,174,20.8,30.7,38.5,47.4,12.5,41.2,5.5,WT9X79
WT9X71.5,11.2,9.75,1.32,0.73,0.4,7.66,21,71.5,142,156,18.5,27.7,34,42.7,9.58,30.7,5.5,WT9X71.5
WT9X65,11.2,9.63,1.2,0.67,0.4,7.61,19.2,65,127,139,16.7,24.9,30.5,38.3,7.23,22.8,5.5,WT9X65
WT9X59.5,11.3,9.49,1.06,0.655,0.4,7.46,17.6,59.5,119,126,15.9,22.5,28.7,34.5,5.3,17.4,5.5,WT9X59.5
WT9X53,11.2,9.37,0.94,0.59,0.4,7.4,15.6,53,104,110,14.1,19.7,25.2,30.2,3.73,12.1,5.5,WT9X53
WT9X48.5,11.1,9.3,0.87,0.535,0.4,7.39,14.2,48.5,93.8,100,12.7,18,22.6,27.6,2.92,9.29,5.5,WT9X48.5
WT9X43,11.1,9.2,0.77,0.48,0.4,7.34,12.7,43,82.4,87.6,11.2,15.8,19.9,24.2,2.04,6.42,5.5,WT9X43
WT9X38,11,9.11,0.68,0.425,0.4,7.31,11.1,38,71.8,76.2,9.83,13.8,17.3,21.1,1.41,4.37,5.5,WT9X38
WT9X35.5,7.64,9.24,0.81,0.495,0.4,6.98,10.4,35.5,78.2,30.1,11.2,7.89,20,12.3,1.74,3.96,3.5,WT9X35.5
WT9X32.5,7.59,9.18,0.75,0.45,0.4,6.98,9.55,32.5,70.7,27.4,10.1,7.22,18,11.2,1.36,3.01,3.5,WT9X32.5
WT9X30,7.56,9.12,0.695,0.415,0.405,6.96,8.82,30,64.7,25,9.29,6.63,16.5,10.3,1.08,2.35,3.5,WT9X30
WT9X27.5,7.53,9.06,0.63,0.39,0.4,6.9,8.1,27.5,59.5,22.5,8.63,5.97,15.3,9.26,0.83,1.84,3.5,WT9X27.5
WT9X25,7.5,9,0.57,0.355,0.402,6.88,7.34,25,53.5,20,7.79,5.35,13.8,8.28,0.619,1.36,3.5,WT9X25
WT9X23,6.06,9.03,0.605,0.36,0.405,6.7,6.77,23,52.1,11.3,7.77,3.71,13.9,5.84,0.609,1.2,3.5,WT9X23
WT9X20,6.02,8.95,0.525,0.315,0.402,6.66,5.88,20,44.8,9.55,6.73,3.17,12,4.97,0.404,0.788,3.5,WT9X20
WT9X17.5,6,8.85,0.425,0.3,0.402,6.46,5.15,17.5,40.1,7.67,6.21,2.56,11.2,4.02,0.252,0.598,3.5,WT9X17.5
WT8X50,10.4,8.49,0.985,0.585,0.405,6.73,14.7,50,76.8,93.1,11.4,17.9,20.7,27.4,3.85,10.4,5.5,WT8X50
WT8X44.5,10.4,8.38,0.875,0.525,0.405,6.68,13.1,44.5,67.2,81.3,10.1,15.7,18.1,24,2.72,7.19,5.5,WT8X44.5
